license_plate,frame_number,model_id,color,category
04Z 2157,JTHBF5C25D5107358,32507VMQCD,Turquoise,track
H96 7QF,WA1VMBFE1AD547355,57372EXCNW,Puce,car
QBV C27,JH4CU2F86DC441869,77209FYEAY,Crimson,motorcycle
HSH 428,JN8AS5MT1AW345380,96412CDNHL,Red,motorcycle
I61 6TY,19XFB2F56EE899710,79597KCPEF,Crimson,motorcycle
TV2 2438,1N6AA0CC2EN843745,59568WVYAE,Green,motorcycle
8V 7131S,1FTWW3A58AE972435,90148LJONU,Green,car
7B 77677,5UMCN93412L079094,74600EMJHG,Puce,track
5HGH 47,1N6BF0KL7FN818347,63662IFOJF,Teal,car
879-UCD,5TDBK3EH2DS558146,50487BOUSJ,Fuscia,track
MDV-5677,YV4902BZ0C1670075,22341UYFKA,Maroon,motorcycle
732-WLK,JH4CU2F68EC780925,31154MILFA,Orange,motorcycle
3LZR577,WAUBVAFA6AN419276,17571VNOGX,Khaki,car
9Z 1026N,1YVHZ8BH0A5530171,26549MRDPI,Maroon,car
ULI-9187,5TFBY5F11AX123524,17985LGROF,Indigo,track
580-XRQ,5J6TF1H39CL762823,36970UEOWD,Puce,track
UOS 611,WAUWFAFL8CA551840,79679IYBAE,Purple,track
NXN2628,5UXFB53564L765936,28429ZCQES,Purple,car
4O 96624,1G6DN57P790978255,90007HVZZC,Indigo,track
GZD-0194,WBA4C9C53FD767683,81808MJGXE,Orange,track
5-B4621,WBA3N3C55FF063038,41154DWFZS,Aquamarine,motorcycle
F47-ZQW,4T1BK3DB8AU921727,11492FUWAO,Khaki,motorcycle
741 1KT,WAUVC68E45A658807,68583ZYSKW,Yellow,motorcycle
82-94022,WBAKG1C50CJ075018,99586HDGOW,Puce,car
OHP 597,JM1CW2BL5C0136739,33102PHOIM,Violet,car
QUO 439,19XFA1E69AE780177,70447EUQNV,Puce,car
6WUL 89,KL4CJFSB1FB046858,88510XJWMX,Mauv,car
LIK-145,WAUBF78E77A148745,04949HVCNU,Aquamarine,track
9-5756R,WBAEN33493E880823,30907AMLTS,Teal,motorcycle
8NE 465,WAUDFAFL0FN642380,10519ECDXP,Fuscia,track
W99 1LZ,5N1AA0NC0FN141775,24362GAAMP,Goldenrod,motorcycle
51KH4,5XYKT3A64EG285291,71475FWVQK,Yellow,track
7113 FH,WAUDG98E05A085499,76895SOEJY,Teal,track
3IN S20,1N6BF0KLXFN420517,72825NDMVB,Blue,motorcycle
185 8AV,WUARL48H78K868905,35898LSIFX,Violet,motorcycle
TQ5 8063,1N6AA0CH5FN080326,35134XPIWK,Indigo,car
KXX 551,1GKS2GEJ3CR229130,55526YCNNL,Teal,motorcycle
OAB 115,2B3CM5CT3BH703077,94067FKYKZ,Yellow,car
OPT-567,1D7RW3GK1BS847508,43080XPCVY,Maroon,track
XR 37057,WAUJC68E35A795297,25562YBEZK,Puce,motorcycle
SEJ 2186,SCBZB25EX2C065587,88501GNESF,Mauv,motorcycle
09-CG69,KNDMG4C79B6726596,58526FDCYO,Pink,motorcycle
5-3602I,WAU4GAFB9AN292406,27011KAEQZ,Turquoise,motorcycle
U47-ZFZ,WAUSH78EX8A041930,75474OOKVH,Blue,car
IZQ 3134,WAUVT68E82A489127,47957FTOBQ,Goldenrod,motorcycle
264-FFN,1FBAX2CM2FK452346,62766JSYLC,Goldenrod,car
42U E17,WAUVVAFR6AA969376,01113NKLFK,Mauv,motorcycle
6V272,JM1NC2SF7F0341463,66271XGYSA,Crimson,car
51F B29,JTEBU5JR6B5079151,37248SVQFP,Green,car
998 UEB,WBAYF8C58FD054037,56414TXOMM,Teal,track
F57-DQU,WDDLJ6HBXFA404953,96905DGNXV,Red,car
WFV 438,JHMGE8G20AC691888,02228NOJUO,Purple,car
7NV 317,3D73Y4CL4BG593952,18796ERGBK,Orange,track
AIT 625,2T1BURHEXEC294165,90881GOCUV,Pink,motorcycle
12G 734,2G4WD582791572164,92744LJUVI,Red,car
VB 8529,1G6DV57V380242278,51749SILVI,Aquamarine,car
4K089,3C6LD5ATXCG893955,35092HVVHN,Maroon,track
OX-1985,JTDBT4K38A1912210,84468GNBMX,Orange,track
XDR 244,1FTKR1AD2BP706318,01632YTQRY,Puce,track
900-ZHA,KL4CJESB7DB654441,74669OTCAS,Khaki,track
0F 6036O,JN8AZ1MU9CW964728,60202OATAC,Teal,car
7401 UA,JTHBE5C25D5281207,08632RNFSU,Blue,motorcycle
ZVT-099,2T2BK1BA1CC379031,10730DSLOA,Violet,motorcycle
249-BUW,1HGCP2E70BA202989,11938CGKFN,Crimson,motorcycle
508U,1G6KS54Y94U629449,01069YZYOM,Violet,track
793 OJT,1FA6P0G78F5629824,53938BPNVP,Yellow,car
AQ9 H1X,WA1GFCFS7FR651308,71238ESJEJ,Teal,track
3393,SCBLF34F84C418454,34023FWZNL,Crimson,motorcycle
2-94366I,1GD020CGXBF669066,75794KDEYY,Aquamarine,car
A56-HII,5GAKRBKD3EJ562469,65431BGUOK,Crimson,car
3-54356V,YV440MBK0F1871312,27790KOSNK,Green,track
9-79815,YV1982BW5A1481463,63845HVNUO,Puce,motorcycle
DNB O58,1FMCU0C72AK178436,59647CBAND,Teal,motorcycle
841-JFAT,WAUPEBFM3DA250478,40292GLJYO,Crimson,track
8L 9X9FLZ,WAUAFAFLXBN834094,53445WMUWS,Yellow,track
XLN4969,WBADT53403C844754,60338HTOHB,Blue,track
QIH 409,5N1AA0ND1EN685211,81920YVSAE,Goldenrod,track
LKM 657,4T1BF1FK8EU828332,08961QQSUB,Green,motorcycle
749ONN,5GAKVDKDXDJ725138,23876VQUMS,Goldenrod,car
9OO 663,SCFKDCEP9EG581244,05760HYIEE,Mauv,track
618HNP,WAUHGAFC4EN201591,62384EEUIG,Maroon,track
U81 3VZ,1G6DL8EY5B0636683,31204PBPPA,Red,car
JRM 387,1B3CB5HA7BD484229,56779CCSNT,Green,motorcycle
FDF1234,1GYEK63NX3R870360,39648CFKHY,Aquamarine,track
63DL626,JN1EY1AP0DM669757,71631FGPBA,Mauv,track
ISN 788,WBA3C3C52DF328663,98550RDWNQ,Blue,track
57-Y093,WAUKF78E68A343852,67338SQJJE,Goldenrod,motorcycle
561H0,WAULD64BX3N257915,32209PLLVW,Yellow,track
BU-6680,5FRYD3H20EB006533,01714QMQHX,Mauv,car
VPY1682,2C3CDZAT6FH101793,15822YJLBV,Red,motorcycle
927 5XR,YV4612HK4F1855261,83776IGTGU,Pink,car
0-5724W,KMHDB8AE4AU198480,93608NWYHE,Maroon,car
347 CY4,3D73Y4EL6BG933437,29840EVFVM,Blue,car
97-86218,1C4NJCBA2FD978463,64856ZCAXS,Fuscia,motorcycle
9295,WBABN53431J866015,17544BCCTL,Yellow,motorcycle
509 UVM,3C3CFFCR6FT857142,94539KOZBG,Puce,track
531AJG,SCBCC41N39C372324,53430LBGSB,Aquamarine,car
MKO-9627,5GADX23L06D863320,26215FUNML,Turquoise,track
HJC 040,4A4AP3AU8FE414537,76371HDKVB,Yellow,motorcycle
24E T56,1FTWW3B51AE707080,88568FGBBK,Turquoise,motorcycle
ZOB-9687,JN1CV6AP7AM776040,79258MWPGL,Aquamarine,car
844-IEF,5N1AR1NB2BC986199,09790NICKX,Purple,motorcycle
QHM 493,WBAUC735X8V836810,25464WPLFL,Yellow,car
93-DJ50,WBA3D5C50FK668221,13459QZFNX,Yellow,car
QL 5205,WAUGGAFC9DN480529,58957MHLES,Yellow,track
TGC 358,1FTWW3B51AE350029,22400QHOPO,Violet,track
150 ZIG,1G6KD57Y14U071957,28302GONOA,Violet,motorcycle
KFC 617,1GYS4BKJ8FR712821,96699ZLXZH,Indigo,track
PP 5921,1FTMF1CW3AF055916,73053NCNHC,Teal,car
319-TIH,WAUKG78E76A239087,96719TNKCJ,Khaki,car
SEC-295,4T1BD1FK5EU329476,68606YKXRE,Pink,motorcycle
QDV-8658,WAUAFAFL9CN538226,12692VPJYK,Goldenrod,track
9EJE 13,1G6DM8EV5A0381485,24420EITWE,Turquoise,car
BLA-2552,WA1LFAFP2DA286207,15304TERJH,Red,car
885 9SN,WAUGL98E08A650511,97059ZMQPM,Blue,car
23HE5,WAULC68E63A960538,61651XANQI,Violet,car
6YT 049,WAUHFAFL3BA986577,61895CJJUJ,Violet,motorcycle
7K YC112,1YVHZ8BH9B5687165,26516PSQAC,Khaki,motorcycle
GQL 281,JM1BL1H35A1200114,88149HIAOX,Yellow,track
ALG-649,WBA6B2C53ED761335,30260LXSQG,Turquoise,car
7-9762N,1FTSW2A55AE558182,93438LYKFO,Aquamarine,car
0X 8U0BCJ,2HNYD18223H819881,76134WVQWH,Yellow,track
98I T78,1J4PN2GK4BW556874,22460KMGLF,Purple,car
920 NO9,4JGCB2FB1AA530707,34838ATQWJ,Red,track
YKZ 448,WDDHF2EB7BA231150,26117IVOWV,Khaki,car
071-FDW,WBADT63433C392398,18956MZLME,Goldenrod,car
155470,WAUSH78EX8A754827,03012EEHXC,Green,motorcycle
71-5958U,1GYS3JEF8BR613480,54168EHJTJ,Teal,track
301 YOS,3C4PDCBB8CT699307,02990FMDIG,Turquoise,track
4-A2654,WAUML44D92N342806,80426XMFNQ,Green,motorcycle
HMI-3217,WAUEH94F98N159029,17938VKVHW,Orange,track
9ZU 177,WAUMFBFL1BN958239,21214JLXTG,Puce,car
456 BUU,3VW507AT3FM208531,59209BOWWM,Blue,car
8BR 346,1G6YV36A685520971,36354QYTKE,Fuscia,motorcycle
806-IYA,WAUDG74F45N791919,40636CIOKK,Mauv,motorcycle
34-TB96,JN1CV6EK8CM401968,13805BGLCX,Fuscia,car
829 CR2,5N1AA0NE2FN813420,57372EXCNW,Yellow,car
382Q,2HNYD2H84DH122918,65719NVUNR,Red,track
4J 70004,WBXPA73464W376419,77209FYEAY,Goldenrod,motorcycle
W20-KPT,2C3CDXDT5CH747709,96926WJPQG,Yellow,track
QEI-0537,WAUMFAFH1FN669597,41591FUGWU,Goldenrod,motorcycle
JGM-3687,1GT02ZCG4EF953189,64439FBUIU,Pink,track
9-3689U,1G6KD57Y21U497300,90327VJIXZ,Puce,car
562-882,SALWR2VF4FA937650,79597KCPEF,Blue,car
79P 8449,WBA3B9C51EP394283,98261WJIOX,Orange,motorcycle
TZS 355,1HGCP2E77BA297647,91252GQRXA,Crimson,track
003-CZGF,1FTEW1CW2AK881801,61812ZTTXW,Fuscia,track
TXP 119,2G4GL5EX6F9486817,50487BOUSJ,Khaki,motorcycle
GO2 A1M,JH4CL96856C913090,61446CYJBC,Maroon,track
5V 20870,19UUA66267A380736,96167IROLX,Fuscia,car
4XU T07,2FMDK3AK9DB403081,69256QAEGN,Maroon,car
3-29745B,1GD11ZCG3DF060626,11280NIIMM,Indigo,car
IDG3512,3C4PDCDG5ET574485,26549MRDPI,Green,car
5CR7462,2G4WS52J111242921,57227AUYBC,Yellow,car
05-8899A,1C3CCBAB3CN195314,17985LGROF,Aquamarine,motorcycle
463 HCR,WAUVT68E35A301182,04580SGTWO,Yellow,car
5K 9958I,2T1BU4EE4BC179936,36970UEOWD,Mauv,car
131407,4A4AP3AU0FE237966,79679IYBAE,Green,car
630 RYU,SALAG2D41DA176332,98202NZZPA,Orange,car
7-93686,1G4HR54K624400024,28429ZCQES,Teal,track
181 IOX,3N1CN7AP3EK003559,90007HVZZC,Mauv,car
76H 074,4USBU335X7L311881,27601ACGVR,Aquamarine,track
JBU-719,1G6AJ5SX6F0185983,15474YOVSW,Mauv,track
260 0787,3N1CN7AP1DL682210,28617NGTFX,Aquamarine,car
FKS5798,WAUCFAFC1DN238061,68583ZYSKW,Puce,motorcycle
XMM 522,3FAHP0HA2AR715865,70447EUQNV,Goldenrod,car
934 OZH,WAUDH78E56A014219,82191KQKGZ,Blue,motorcycle
672 XTW,5GAKVDED9CJ175537,04949HVCNU,Indigo,motorcycle
38EE0,1G6DM5EG6A0641361,06475DZHFU,Blue,motorcycle
8XH D17,5FRYD3H49FB298931,21385PZSXE,Orange,car
013 GQW,JTDKDTB35E1200640,40164WNEOG,Red,car
KIT-7646,JN8CS1MU2DM359279,01113NKLFK,Purple,motorcycle
3HI 498,3D7TT2CT0BG754090,10706QTEGV,Yellow,car
953CAG,JM1NC2JF2D0740490,66271XGYSA,Indigo,car
UFA6995,JH4CL95876C260344,37248SVQFP,Indigo,motorcycle
1J 5086X,JHMFB4F27CS074074,96905DGNXV,Red,track
IDU 377,WAUKF78E86A544018,28607PJGVG,Crimson,motorcycle
47Z 6497,WBA4B3C58FD909588,27944JPSLB,Orange,motorcycle
6TG2820,19UUA96259A281765,92744LJUVI,Mauv,car
126-NTO,WAUCVAFR5BA372521,62599TDXPF,Indigo,track
ZHL 199,1GTC5MF97C8647786,35092HVVHN,Maroon,motorcycle
FJF 835,1GYFC53289R173618,01632YTQRY,Blue,car
252 JNU,4USBT33493L625168,47106DGXAW,Orange,car
78-OS09,3G5DA03E44S108780,20001CNUCM,Maroon,motorcycle
OVI V67,2D4RN4DE8AR885192,12614ZCXKU,Mauv,motorcycle
H79 1HA,5N1AT2ML9EC492511,15202DNKVY,Turquoise,car
GAB-6707,SCBFC7ZA1EC850055,34023FWZNL,Violet,motorcycle
8448 ED,WBALW3C5XCC485753,73312ULUTY,Goldenrod,track
ABY-4730,WA1YL54BX5N693635,27790KOSNK,Purple,track
2K 5J6SHE,5UXWX7C5XEL913388,60338HTOHB,Mauv,motorcycle
606-DYS,1FTEW1CM6EF748214,81920YVSAE,Teal,motorcycle
OIE-8689,WUADU78E68N990247,10286GPFAJ,Purple,track
9-95446,JH4KC1F57EC751187,49477YFEAB,Crimson,motorcycle
AHY-8188,2C4RDGEG0DR607215,53501DTTML,Khaki,track
031-WWS,WBA5M4C50FD497994,99103NUVEJ,Orange,car
OPZ-371,5N1AA0NC4AN111235,58150ECHGM,Orange,motorcycle
LXS-2300,WBABS53472J714183,23876VQUMS,Turquoise,motorcycle
MLN 363,WAUGL78E67A094806,44246YGGDA,Crimson,motorcycle
QXE 489,JN8AS5MT5BW949113,22434JOWKH,Purple,motorcycle
773 VBA,1VWAH7A31CC833336,62384EEUIG,Puce,car
7KG5595,KMHCM3AC2BU434021,38793DFDZW,Indigo,car
BW1 3234,TRUWT28N231591918,73286WMKRD,Turquoise,car
04UV0,5N1AR1NB3CC384686,10045HFDKS,Goldenrod,track
GBZ 8738,WBALM53509E136065,31204PBPPA,Khaki,car
G23-RSI,WAULC68E12A193745,95651NOXXZ,Mauv,track
55N G71,WAUJT58E83A657844,71631FGPBA,Khaki,motorcycle
734 JXY,3A4GY5F92AT543245,67338SQJJE,Pink,car
647BJT,1GYUCCEF9AR414425,67182SLEUT,Violet,motorcycle
97Y Z17,1HGCP2E41AA845713,05321NYVGE,Purple,motorcycle
QXX2513,WAUK2AFD5FN652642,83776IGTGU,Indigo,motorcycle
740E,1N6AA0CH6DN865984,69434QYOWH,Crimson,track
PY 1470,WAULFAFR9DA448015,32822OQGAB,Indigo,track
0PH R91,JTDKDTB36D1811629,93608NWYHE,Puce,track
578-ZIG,SCFFDAAE2AG440326,48718CCRSJ,Pink,motorcycle
0281 HA,WBAWB73559P395248,81530MDQXF,Violet,track
6-Z8779,5UXFG83589L945039,66847QIYAY,Goldenrod,motorcycle
0K 3Z9TWZ,1GTN1TEH5FZ194905,26215FUNML,Yellow,car
3-58615,WBANN73546C079250,61532OTXET,Goldenrod,track
IYU-437,WA1DGAFE1BD654243,79258MWPGL,Fuscia,motorcycle
586 WMG,1G4HD5EM7AU181555,35636YSGBO,Maroon,car
0-0073G,WAUEFAFLXCN010518,09790NICKX,Indigo,car
CCA 785,WA1LMBFE0ED624987,79602JNQWY,Yellow,car
DPQ-862,WAUKF68E25A342462,81271PUFQU,Crimson,track
3-2260K,WBAAV534X1J212849,13459QZFNX,Red,car
E80-MLA,5GAKRAKDXEJ300216,48748VTWRF,Goldenrod,motorcycle
GQU-8889,4T1BD1FK5FU000522,36792DRGYA,Crimson,car
7Y 8I7KEQ,5NPDH4AE5CH263023,56166TDASC,Turquoise,car
OMQ-0373,3D7LP2ET7BG232266,93627VLEBL,Goldenrod,car
6UEH 81,NM0KS7AN0AT490233,68606YKXRE,Puce,track
5Q 8041F,VNKKTUD32FA610603,91086FMREO,Crimson,motorcycle
196-IJH,JN1CV6EL6EM261933,12692VPJYK,Yellow,track
371 TSX,JN8AS5MT9CW474549,75380KXMRY,Turquoise,car
297-059,5N1BA0ND7FN453041,39641ZUOIF,Khaki,track
7N U0957,WAUHF98P88A693703,97059ZMQPM,Puce,car
5F TX621,5GAKVBKD6FJ359895,61651XANQI,Purple,motorcycle
65-XC64,1G6DC67AX90294081,88149HIAOX,Maroon,track
7-1694W,JTMHY7AJ1A4696213,90187SQARJ,Crimson,motorcycle
487-TDM,5UMDU93446L522206,66764WWWJX,Yellow,motorcycle
686 FMH,YV1612FH6E1018000,08844VWKAR,Goldenrod,car
YU-2902,1C3BCBEB6EN284626,24888OHNWO,Goldenrod,car
9T 72900,WAUCVAFR0AA948014,76134WVQWH,Teal,motorcycle
378 3HL,19UYA42763A545282,01816IQQXB,Green,track
8I UY907,W04G05GV0B1811687,03012EEHXC,Khaki,car
C15 4EE,WVWAN7AN8EE314997,99443FNBMC,Khaki,motorcycle
01A 9646,1N6AA0CC8FN929160,46067GSLFZ,Maroon,car
916 NUU,1G6DK67V280747811,17938VKVHW,Pink,motorcycle
G70 3WW,1G6DC1E39E0589643,21214JLXTG,Blue,track
21HT781,5J6TF1H33FL898840,05712RDYPD,Aquamarine,car
7CZT129,1FTWW3B5XAE569779,59209BOWWM,Khaki,car
WQY 234,WBADT33413G602200,36354QYTKE,Mauv,track
LD 15596,WBSDE93412C432337,40636CIOKK,Pink,motorcycle
146-GLZ,2C4RDGDG9CR827971,90228VRHSD,Green,track
BNU F71,WA1CKBFP1AA424297,86489LGGLR,Violet,track
2-92597,5N1AA0ND8FN762190,62216RPJRT,Blue,track
KLI 161,5FNRL5H24CB480700,51696DPHDB,Maroon,track
05L•150,WAUGL98E98A343662,32507VMQCD,Violet,car
975 LWO,WBAEW53435P895947,57372EXCNW,Teal,car
853X,JN1CV6EL9FM824006,77209FYEAY,Teal,track
4C T7368,WAUHFAFL3AA889300,41591FUGWU,Teal,track
9ZR H83,WA1CFAFPXBA393969,92659KLGRG,Pink,motorcycle
ABV-999,JN1CV6AP6BM189779,64439FBUIU,Teal,motorcycle
4JL 298,1FMEU2DE5AU067370,14709DXNZN,Orange,motorcycle
MDG-2298,SCFBF04B68G965419,18086MDFGS,Aquamarine,car
0KG M67,1G4HP57M89U115337,49046RWQRA,Orange,car
HPM8644,WBA5A5C50ED472879,98261WJIOX,Turquoise,motorcycle
91L•279,KM8JT3AC9AU718562,90148LJONU,Blue,motorcycle
IJO-087,1N4AA5AP8DC629901,91252GQRXA,Indigo,motorcycle
626 JMF,WBA3B9G51FN374915,74600EMJHG,Puce,motorcycle
IDE Q02,WBAYA6C57FD711994,50487BOUSJ,Puce,car
AVO-8514,1GYS4AEF5ER248273,22341UYFKA,Khaki,car
MFN 112,WBAPM7C57AA006504,96167IROLX,Fuscia,motorcycle
457 OGY,4T1BF3EK8AU796585,69256QAEGN,Mauv,motorcycle
733-DBS,2T1BU4EE4DC639602,94189TSEVP,Crimson,motorcycle
K93 5FY,WAUAF98E47A516709,13893BSZNE,Violet,motorcycle
HUX5388,1FTEW1CF4FK843445,26549MRDPI,Yellow,track
111-KOY,WAUGFAFR9DA815836,36970UEOWD,Orange,track
981 ZYJ,WVGAV3AX7DW867249,98202NZZPA,Pink,car
ZDQ 601,WA1DGAFEXBD214229,28429ZCQES,Crimson,car
LGO 446,1G6DM57T170038627,81808MJGXE,Violet,track
KBY 511,2HNYD18662H042591,41154DWFZS,Orange,track
DZT 883,WVGAV3AX3EW244230,27601ACGVR,Khaki,motorcycle
715-ZRY,5FRYD3H23EB350440,60417RCEVK,Orange,track
3RM K37,1J4PN2GK3AW237139,18394GHJXY,Pink,car
JFK4635,JTEBU5JR9F5721576,33102PHOIM,Crimson,motorcycle
15-F068,3G5DA03E35S268358,70447EUQNV,Pink,car
566-NQN,3N1CN7AP0EL134426,42152KRUMN,Mauv,motorcycle
6-8996Z,WAUWGBFB6BN439510,30907AMLTS,Maroon,motorcycle
2A 3C0PYJ,1FAHP2D84EG951221,51377UQXMC,Pink,motorcycle
95-S381,19UUB2F51FA753888,49116MQVGU,Orange,track
SCY 097,1G6DW677260340123,66675VNMUO,Mauv,track
NKU6307,3N1AB7AP0FL110564,76895SOEJY,Khaki,track
L01 9CC,5UMBT93528L466627,72825NDMVB,Indigo,car
201 0SP,3VW517AT9EM748459,09892OETEV,Aquamarine,car
VX 65339,WAUVT68E25A267235,97482YMHVP,Aquamarine,motorcycle
159 YCL,1FTEX1E88AK407492,84427PGRZG,Blue,track
3LH0223,19VDE1F7XEE496767,52571YLJFU,Yellow,car
A04 3IE,WDDNG7DB0DA170290,47957FTOBQ,Teal,track
IQM-226,1N4AL3AP6DC003939,01113NKLFK,Goldenrod,track
DP 0811,SCBDR3ZA6BC440555,66271XGYSA,Red,motorcycle
B74-EMZ,SALSF2D47CA605981,56414TXOMM,Turquoise,motorcycle
355 8EA,WVGAV7AX7FW157598,02228NOJUO,Yellow,car
598 AZC,2FMHK6DTXAB756268,14852RMILI,Khaki,car
M93-93F,JN8AS5MT4CW219159,18796ERGBK,Maroon,car
0NJ 213,JN1BJ0HR7FM310305,90807DLJUO,Blue,motorcycle
58JP0,1FMJK1J54AE468129,20001CNUCM,Red,motorcycle
438029,JTHCL5EF5F5375942,74669OTCAS,Violet,motorcycle
5-76967,1FMJK1H5XCE312184,60202OATAC,Purple,motorcycle
UOU-842,2GKALMEK6D6749528,12614ZCXKU,Khaki,car
OU2 M5A,5N1BA0NC0FN944820,94575NAUET,Crimson,motorcycle
3TN B66,19UUA65625A560555,76788TRVDY,Goldenrod,track
900-YHQ,1FM5K7B84FG697662,71238ESJEJ,Puce,motorcycle
923-GJDP,JN1EY1AP7EM336232,28811ZYSRG,Blue,car
Z97-UJS,WVWAP7AN3DE129250,73312ULUTY,Puce,track
6-66210,JM1NC2EF3A0819561,27790KOSNK,Goldenrod,track
8F713,WBAYP9C59DD674704,37467VPAWA,Turquoise,motorcycle
NFW-9627,19XFA1E31BE374465,53445WMUWS,Indigo,track
5-1620E,5UXFG8C59DL302112,60338HTOHB,Mauv,motorcycle
87I 572,WAULT58E82A077923,81920YVSAE,Turquoise,car
575-052,WUATNAFG2CN000200,44246YGGDA,Maroon,motorcycle
706 3600,JN1CV6FE0FM380210,62384EEUIG,Pink,car
251 MRD,SAJWJ0FF9F8054282,38793DFDZW,Purple,motorcycle
367 UY1,TRUB3AFK0C1163993,73286WMKRD,Violet,track
3JV 444,YV4902DZ8D2163451,79980VVMYB,Blue,motorcycle
505 TXG,SCBCP73W38C615012,31204PBPPA,Green,motorcycle
666 HTA,WVWAN7AN0EE716982,56779CCSNT,Blue,car
75OC6,1YVHZ8BH5D5484874,95651NOXXZ,Orange,car
C03 2XV,2C3CCAAG1CH606322,39648CFKHY,Turquoise,track
0OC 603,2C3CCAJG7EH317450,71631FGPBA,Blue,car
HGJ 783,5N1AA0NC5FN483254,98550RDWNQ,Blue,motorcycle
2-49570,WAUEL74F35N167089,07267DLTLH,Pink,track
384 UOI,WA1AM74L99D676081,67182SLEUT,Khaki,track
6I 30651,1J4NF1FB2AD183389,32209PLLVW,Indigo,motorcycle
5OA 432,WP0CB2A83CS481359,34875VFWSA,Indigo,track
