license_plate,frame_number,model_id,color,category
KIL 377,WAULFAFH9EN711234,58104HOATM,Teal,motorcycle
7AO 606,JA32U1FU5DU140815,18821PMCLI,Crimson,motorcycle
464L,1FTFW1E81AF118020,32822OQGAB,Purple,car
20-X454,1C4RDHEG3FC860031,93608NWYHE,Purple,track
0-P8239,4USDU53407L284203,48718CCRSJ,Pink,car
L18 9BR,JA32U1FU7AU397521,75203HECSL,Green,car
KLW 747,1GYS4LKJ7FR040403,81530MDQXF,Teal,track
660 3DC,WAUDK78TX8A942661,17544BCCTL,Khaki,car
1-K7220,JM1DE1KY9E0190660,53430LBGSB,Mauv,motorcycle
LYM 191,JH4NA21691T628347,26215FUNML,Mauv,motorcycle
NGE-8186,WVGAV3AX4DW064303,79258MWPGL,Pink,motorcycle
396-UNI,WAUKF78E27A052876,35636YSGBO,Puce,motorcycle
7-0261X,WBA3B3G51EN330439,25464WPLFL,Goldenrod,motorcycle
F 996293,1G6AE1R36F0351872,73053NCNHC,Indigo,car
NIQ-0296,3C4PDCBB1CT429349,48748VTWRF,Aquamarine,motorcycle
788 6NV,JTEBU5JR9A5375344,93627VLEBL,Fuscia,motorcycle
73B•578,2FMGK5B84EB128281,12692VPJYK,Purple,track
515 5161,KMHGC4DE8AU512775,39641ZUOIF,Red,car
0Z 05228,3N1CE2CP0EL554333,61651XANQI,Yellow,track
QJT C42,3GYFNAE30DS279740,07764LBAXP,Goldenrod,motorcycle
HUI 057,WAUJF98K39N949505,26638YQZKL,Green,car
QK8 2563,SCBZK22E02C010604,86098ZUNMR,Mauv,track
RBB 901,3VWF17AT5FM432126,66764WWWJX,Turquoise,track
182M,1GD12ZCG3BF119040,80404UNYAY,Puce,track
STY-507,JN8AF5MR1ET541870,93438LYKFO,Indigo,motorcycle
EXU-1189,1FMJK1JT3FE387662,24888OHNWO,Violet,track
46-7254L,KNALU4D46F6508238,80426XMFNQ,Crimson,car
OH 4374,WA1DGBFP0DA120646,99443FNBMC,Goldenrod,track
KD-2612,WAUDF48HX7A251255,17938VKVHW,Teal,motorcycle
XSQ 940,WAUAT48H55K391832,21214JLXTG,Orange,car
H28 9KQ,1G4GG5E30CF663429,05712RDYPD,Green,car
V 678591,WBABD33435P247148,59209BOWWM,Green,track
324-NPF,WAUHFBFL3AN925534,52316ODVUI,Turquoise,motorcycle
1QCZ466,WAUGL98E67A643402,98264UNIZW,Yellow,car
HNL 498,1G6AB5SX7E0472793,38812NDHMB,Teal,track
BGT-8561,WA1CV74L57D556491,90228VRHSD,Crimson,car
701747,2G4GU5GV8C9141874,11227TZKBE,Khaki,motorcycle
4-18231P,WDDGF5EB7AA545523,86489LGGLR,Puce,car
VSX-185,WAUAVAFD6CN186718,40064ONBBL,Orange,car
3VY 558,KNDJT2A11B7187628,51696DPHDB,Puce,track
981VRC,1GD422CG5EF926037,57372EXCNW,Goldenrod,motorcycle
F33 0BX,JTDKN3DPXE3667943,77209FYEAY,Red,motorcycle
870EW,3D7JB1EP4AG437285,98366HVUNT,Green,track
AGG8389,2C3CDXFG8FH623289,96926WJPQG,Goldenrod,motorcycle
10GW101,3VW1K7AJ4BM424745,96412CDNHL,Orange,motorcycle
5-6003A,1G4GC5G31FF561845,64439FBUIU,Violet,track
77LQ8,ZHWGU6AU8CL907063,90327VJIXZ,Purple,track
535 IK2,1N6AA0CC3DN935011,14709DXNZN,Khaki,car
612 JSE,WBADW3C51DJ067261,18086MDFGS,Turquoise,car
EX2 9328,3D73Y4HL0BG757352,49046RWQRA,Puce,track
93C 2845,1GTN2TEHXFZ051154,59568WVYAE,Yellow,track
W21 7IC,WAULC58EX2A189526,87520JSKOK,Fuscia,car
73-AR24,2C3CDXCT1CH298885,74600EMJHG,Red,track
172 LQS,WAUVT58EX3A275719,61446CYJBC,Red,car
CQ 88787,1GYEK63N12R402063,22341UYFKA,Yellow,motorcycle
QOJ 407,JTHKD5BH9C2513672,96167IROLX,Puce,motorcycle
L98 2ER,JTEBU5JR7B5056915,64195GRKOT,Pink,car
2520 WF,WVGAV7AXXAW578661,13893BSZNE,Violet,car
221-LKD,WAUCH74F49N871221,26549MRDPI,Yellow,track
H13 6QA,WBAEP33422P391600,04580SGTWO,Khaki,motorcycle
ZLF 641,JH4KB16608C935208,36970UEOWD,Green,track
SZJ 592,3FA6P0D95DR725491,79679IYBAE,Turquoise,motorcycle
H84 5NZ,1N4AL2AP5BN205652,91168FCHXU,Mauv,car
268-718,1GYEE637390838405,98202NZZPA,Turquoise,track
9XP E52,WAUGVAFR8CA515254,28429ZCQES,Goldenrod,track
951 NCT,3C4PDDEG6ET668914,98084DMXQT,Goldenrod,track
6-11208,YV4902DZ0D2604439,65799IZDMX,Yellow,car
8380,2FMDK3GC0AB463939,81808MJGXE,Violet,motorcycle
05-J219,JH4DC53895S057184,41154DWFZS,Teal,track
0WN V61,1C6RD6FK7CS429630,11492FUWAO,Puce,track
54QX5,WAUAKAFB0AN605408,68583ZYSKW,Red,track
643 APQ,WA1LMBFE7ED333354,42152KRUMN,Maroon,car
1OU8194,WBASN4C59AC090559,30907AMLTS,Indigo,track
0DX5658,WBAAV33471F680481,06475DZHFU,Teal,track
937 IUU,1C3CDZBG2EN229682,49116MQVGU,Red,motorcycle
2557,JM3KE2BE9E0723181,71475FWVQK,Violet,track
6G P8070,1GKS1HE05DR558090,76895SOEJY,Khaki,track
150-AIT,1FTEW1CM6CF294267,33720BJLTM,Pink,motorcycle
ALK 807,WBAUP7C56AV652944,46712WLLKG,Maroon,motorcycle
6-W9864,WP0CB2A83CS796565,00326DAIRN,Turquoise,track
721 EGT,1G6DA8EG0A0702911,35898LSIFX,Red,track
TLB 614,WDBSK7BA6CF242406,22404YMKJW,Crimson,motorcycle
KJJ 310,1G6DK5EV6A0136747,94067FKYKZ,Green,track
5YOQ 35,1C3CDFBB2FD490546,43080XPCVY,Teal,track
025 0PJ,1D4PT5GK9BW797300,25562YBEZK,Red,motorcycle
918 XET,JH4DC53033C924712,82668RTLKW,Pink,track
LWY 178,WAUEFAFL4BA470926,21385PZSXE,Goldenrod,car
MCO 747,5N1AA0NCXCN074694,40164WNEOG,Aquamarine,track
VSX 302,4T1BK3DB6BU079598,88961BJIGE,Pink,car
967 XAQ,WA1DGAFP7EA158502,52571YLJFU,Aquamarine,car
7QY8840,1G4GA5GC7BF484320,23451TJCEZ,Indigo,motorcycle
50K 0105,WBAYF8C57FD395865,47957FTOBQ,Khaki,track
6HWY 41,YV4952CY9C1743595,01113NKLFK,Pink,car
315YCH,1N6AA0CHXFN814989,10706QTEGV,Aquamarine,motorcycle
HAB 064,WA1WKBFP2BA598314,37248SVQFP,Fuscia,track
086 VYW,5N1AA0NE5EN367889,02228NOJUO,Fuscia,motorcycle
43-19624,WA1EY74L48D719777,27944JPSLB,Green,track
TIR 293,WAUJC68E05A754366,91840ABVMY,Green,track
9NT56,WAUKF98E26A618870,92744LJUVI,Fuscia,track
VVT-313,3D7JB1EK4AG160125,47106DGXAW,Orange,motorcycle
3517,WAUEV94F98N758716,08632RNFSU,Teal,track
BJ 72028,1G6DP577960028596,11938CGKFN,Green,track
LZL-2657,WAUFFAFL9AN472098,01069YZYOM,Goldenrod,motorcycle
1BG S96,WAUJT54B03N215743,93631DXDQC,Teal,track
033DT,JTHBP5C27C5408628,56483FSLNP,Green,motorcycle
4V L9931,2G4GV5GV4D9943837,15202DNKVY,Orange,car
YLX-3258,WP1AE2A25EL999637,34023FWZNL,Fuscia,car
5KH 922,1FTKR1AD5AP780914,28811ZYSRG,Aquamarine,car
05-IF75,2C3CDYCJ1EH491111,75794KDEYY,Khaki,track
08R 559,WAU4FAFL5BA599026,73312ULUTY,Teal,track
VMH 708,1G6DP577950730075,56971JUPOT,Orange,track
4N 04973,5N1AA0ND1FN692967,59647CBAND,Violet,motorcycle
FIT 684,WBAKF9C55CE653284,37467VPAWA,Goldenrod,car
3641,4A4AP3AU1EE405855,53445WMUWS,Fuscia,track
86-7374J,3C3CFFDR9FT875178,10286GPFAJ,Violet,motorcycle
36-LF56,SALAB2V65FA924484,53501DTTML,Pink,track
YJU-467,3VWML7AJXEM508888,99103NUVEJ,Red,track
SBG 098,1N6AF0KYXFN003261,58150ECHGM,Purple,car
B60-VWJ,ZHWGU5BZ6DL840906,23876VQUMS,Puce,car
24K 730,1LNHL9DR6CG515843,22434JOWKH,Green,car
6PP 383,WDDEJ9EB7EA186631,62384EEUIG,Goldenrod,track
S73-88B,WA1LGAFEXDD846369,38793DFDZW,Blue,car
012 9681,JTHBE5C21C5764983,12633KZZMC,Crimson,car
F87-94C,WBA5B1C59ED745159,73042PEHKW,Puce,car
079Z3,WAUKFAFL0CN304982,79980VVMYB,Turquoise,motorcycle
076 6339,19UUA8F2XCA396945,31204PBPPA,Crimson,car
795 ETO,WBSDE93483C505513,56779CCSNT,Maroon,car
1799,2LMHJ5AR4AB948461,95651NOXXZ,Orange,car
886 RWI,WAUHFBFL6AN351866,39648CFKHY,Mauv,motorcycle
578-FYHM,5J8TB3H59EL308560,07267DLTLH,Red,car
00R P09,2G61R5S3XD9930226,67182SLEUT,Indigo,track
0JE39,WAUHGAFC0CN126143,05321NYVGE,Orange,motorcycle
35-67079,3VW4A7AT6DM758988,01714QMQHX,Fuscia,motorcycle
907 YRF,JHMFA3F28AS601338,83776IGTGU,Turquoise,car
818-EAG,1GYS3FEJ1BR946489,18821PMCLI,Yellow,car
229KIZ,SCBBB7ZH8DC041617,69035FZZMK,Crimson,track
B 272001,2G61S5S31F9022223,48718CCRSJ,Indigo,car
015 IRX,JM1BL1K56B1961133,89750MWNEU,Purple,track
2-50287,19UYA42592A198740,14002KPACE,Puce,car
77N 596,SALFR2BN3BH563545,77217ASFFK,Aquamarine,car
33-2862W,1GYS4CKJ2FR945308,94539KOZBG,Puce,track
3NW U44,1GD312CG8EF432897,88568FGBBK,Indigo,motorcycle
8BB9830,1C3CDFBB9FD576419,35636YSGBO,Indigo,car
31K J90,YV1612FS5E1070245,62596JFYYZ,Aquamarine,motorcycle
959 PPU,SALWR2TF7FA062941,13459QZFNX,Aquamarine,motorcycle
CEG-7377,JN1AZ4EH2BM058660,58957MHLES,Aquamarine,car
BPL-883,4T1BD1EB1EU273120,22400QHOPO,Puce,motorcycle
VHU-560,5N1AR2MM7FC337724,96699ZLXZH,Indigo,track
YWZ 595,3D73M3HL2AG735874,96719TNKCJ,Indigo,motorcycle
0H 98955,1G6KD57Y39U373581,08928BWYJT,Pink,car
8IY 250,WAUHE78P08A247603,48748VTWRF,Yellow,car
0NM0292,JN1CV6AP5CM241940,36792DRGYA,Blue,car
78-K824,1GYS4CKJ1FR257378,56166TDASC,Khaki,track
EHE 4075,2G4GS5EV4D9160173,68606YKXRE,Indigo,car
543 GNR,4T3BA3BB6EU123634,99911CRPDM,Puce,motorcycle
NJG-6665,3N1AB6AP2AL318691,68436EWCFD,Maroon,car
MVY 713,JN1BJ0HR3DM589328,43058OCOIQ,Green,car
036K1,SCFEBBAC6AG228678,97059ZMQPM,Aquamarine,track
AI 6935,4A31K5DF9CE871185,59215SXHHX,Maroon,car
N 788808,JN8AS5MT3CW997890,19710KVIIA,Purple,car
3-66051,1HGCP2E79AA521077,26638YQZKL,Red,track
YY4 2288,SCBFC7ZA6EC628482,22157EXBKO,Khaki,car
4T 58052,WBAKA83529C924444,30260LXSQG,Teal,car
095 FQZ,3VWF17AT2FM551946,08844VWKAR,Goldenrod,track
I74 4OC,1G4HR57Y86U606631,76134WVQWH,Maroon,motorcycle
6RW6048,1N6AA0CC1AN739242,18956MZLME,Mauv,car
D93-TNA,3D4PG9FV9AT176697,54168EHJTJ,Teal,track
021IYI,KM8JT3AF7EU835685,30270OTWAZ,Purple,track
769-699,SALAC2D46AA430012,80426XMFNQ,Violet,motorcycle
SVA-1631,WA1WGAFP2EA666174,99443FNBMC,Goldenrod,motorcycle
86AX2,JTHBF5C25D5690966,77967BWOSE,Indigo,track
9BM89,3GYFNCE37FS521843,17938VKVHW,Puce,car
SMO 815,1G4PR5SK8D4029790,05712RDYPD,Crimson,car
58O PJ3,WAUZL64B01N294580,98264UNIZW,Pink,track
7Z 6929X,1N6BF0KX5FN606582,40636CIOKK,Purple,car
ZXT 321,5LMJJ3H54AE213162,90228VRHSD,Aquamarine,car
785 TDP,2GKALMEK1F6936999,68599NGPQV,Puce,car
333HLE,1FTWW3DY8AE364582,13805BGLCX,Purple,track
GEB-2708,1C4RDHAG3FC643147,32507VMQCD,Aquamarine,car
T 783124,1D7RE3BK1AS917453,57372EXCNW,Yellow,motorcycle
5B539,WAUVT68E44A614451,98366HVUNT,Teal,motorcycle
PHI-4177,WAUHF98P78A397717,96926WJPQG,Green,motorcycle
ZYA 530,3VWJX7AJ7AM604351,60508FPBTK,Maroon,track
0P 8570L,WVWAP7AN8EE440822,92659KLGRG,Goldenrod,motorcycle
JGG-6535,JTEBU5JRXC5205044,46617WKRYE,Puce,motorcycle
25O 4226,WAUYGAFC8DN862250,79597KCPEF,Crimson,track
556 FJQ,WDDGF4HB9ER645877,49046RWQRA,Goldenrod,motorcycle
2978 GK,1FTEW1CW4AK318409,59568WVYAE,Goldenrod,car
ZZA 815,WAUAH78E48A712388,87520JSKOK,Violet,car
398LNJ,4T1BF1FK9FU072141,91252GQRXA,Green,track
267 NZR,1G4CU541724737768,08402WNPSZ,Crimson,car
SFX 795,JHMZE2H36CS547610,61812ZTTXW,Blue,motorcycle
359 DEQ,WAUDFAFL1EN487501,50487BOUSJ,Pink,car
891 VLG,3C3CFFAR1FT740426,61446CYJBC,Violet,motorcycle
1GZ Q60,JHMGE8G31DC863097,22341UYFKA,Orange,track
RBP-661,1G6AC5S39E0772796,96167IROLX,Purple,track
670 WNA,5J8TB4H72GL254416,64195GRKOT,Turquoise,car
YVC-494,5UXFA93504L263112,54774CYHDL,Puce,car
64-4925J,1GYS3JEF8DR347543,17985LGROF,Green,track
H72 2YK,WBAPH5G57BN312812,66576OBXWU,Teal,car
34M•017,WAUBVAFA0AN233782,79679IYBAE,Blue,track
455277,5FNRL5H25FB824037,91168FCHXU,Green,motorcycle
MA7 4057,WBAYE4C54FD685475,34970FMAHF,Violet,car
O46-QGQ,SCBGU3ZA8DC259021,98202NZZPA,Mauv,car
LGW-976,YV1612FHXE1396840,28429ZCQES,Green,motorcycle
MVE 979,1G6AB5SX3D0005336,90007HVZZC,Goldenrod,track
070-VWK,SCBFT7ZA9FC720722,98084DMXQT,Indigo,car
31-FK94,WVWAB7AJ3CW519687,60417RCEVK,Green,motorcycle
LYI 915,WBA6A0C51ED147486,18394GHJXY,Red,track
MFU S87,KM8JT3ACXAU689914,11492FUWAO,Purple,car
ZIP 864,1FTWW3A59AE763267,68583ZYSKW,Fuscia,motorcycle
902W,WAUKG98E76A430729,21385PZSXE,Mauv,track
TDQ-793,2C4RDGEG7CR800735,40164WNEOG,Indigo,motorcycle
9562,SALWR2VF5FA150724,84427PGRZG,Fuscia,car
1NLF 30,1C3CCBAB1CN157323,52571YLJFU,Goldenrod,track
7Z 3534Q,1N6BF0KX6FN918636,23451TJCEZ,Blue,car
VFO-811,5GAKRBKD4EJ796751,34013MTQYK,Puce,car
EJD 803,1N4AB7AP1DN771178,01113NKLFK,Turquoise,track
238 TNK,WDDLJ7DB3DA859233,10706QTEGV,Crimson,motorcycle
781 1FW,WA1CFAFP0FA783985,60463ILRGE,Teal,car
DRJ 830,5N1AA0ND9FN483475,56414TXOMM,Khaki,car
89-A279,WUADUAFG4CN443861,96905DGNXV,Crimson,track
326 JFK,2G4WS52J321982746,02228NOJUO,Green,car
575 1HP,KL4CJFSB4EB429594,28607PJGVG,Turquoise,track
4GT X73,3D4PH9FG1BT792331,27944JPSLB,Pink,track
3JQ 654,WBSPM93579E491934,62599TDXPF,Maroon,motorcycle
941 KNO,WBA5M6C58ED289842,35092HVVHN,Puce,motorcycle
40-6718N,5FRYD3H9XGB251372,20001CNUCM,Maroon,track
BDO8119,5GALVBED5AJ483567,83458QDVDE,Puce,motorcycle
RWO-7493,WBSDE93473C652504,08632RNFSU,Purple,car
HPR-2951,JH4CU2F62AC908764,94575NAUET,Turquoise,car
845 MNG,1FAHP2D88DG743194,10730DSLOA,Mauv,track
EAR 714,1FBAX2CM1FK085083,01069YZYOM,Indigo,track
UEL-550,1VWAH7A32EC669291,15202DNKVY,Turquoise,track
ZT-5655,JTDZN3EU2FJ781306,65431BGUOK,Indigo,car
844 2KO,JM1GJ1T66E1223517,63845HVNUO,Crimson,motorcycle
07W YE1,WA1MKBFP5AA269404,59647CBAND,Orange,track
6I PI469,1VWAH7A30DC859220,53501DTTML,Blue,track
GBT6744,1N6AA0CC5AN833110,99103NUVEJ,Goldenrod,track
AJY-9891,WUARU78E77N614340,22434JOWKH,Goldenrod,motorcycle
EXF6194,WAUVC58E95A437231,12633KZZMC,Puce,car
4VAX385,5J6TF1H30CL425795,27672EORLJ,Goldenrod,track
617-206,2G61S5S3XF9621248,32382YAGEK,Purple,motorcycle
016W,KMHTC6ADXDU693565,31204PBPPA,Red,car
RAD-7016,5FNRL3H23AB377012,56779CCSNT,Mauv,car
CFP-340,JTDKN3DU6B0568989,97911PYRMW,Yellow,motorcycle
047EM,5FRYD3H96GB104000,64065XJOTH,Goldenrod,car
84A 238,3C6TD5ET1CG005376,07267DLTLH,Maroon,car
X51 1HP,3C4PDCDG0ET476285,67338SQJJE,Puce,motorcycle
HLU 274,1N6AA0EK6FN585879,05321NYVGE,Puce,track
351 WMT,SALAB2V67FA592032,51518DIAML,Orange,motorcycle
0IL3153,1G4GC5EC2BF146935,83776IGTGU,Crimson,motorcycle
BUX7525,1GD21XEG2FZ825395,69829RLUQU,Mauv,car
SZE-9965,WBAWL7C51AP707146,69434QYOWH,Pink,track
Y 653696,3C3CFFAR2FT857397,27879YNWWM,Teal,track
VT7 Y2W,JN8AZ1MU9EW659619,93608NWYHE,Maroon,motorcycle
420-OYK,5FRYD3H62FB910808,69035FZZMK,Violet,motorcycle
XVE-0881,KMHGH4JH3EU796676,48718CCRSJ,Crimson,motorcycle
179-NLE,WBAFR7C53CC361173,75203HECSL,Aquamarine,car
D65 6VU,2HNYD18946H159117,14002KPACE,Pink,track
57W•489,1G6DJ577880433790,77217ASFFK,Puce,car
816-ZUF,JTJHY7AX3F4504122,94539KOZBG,Pink,track
701 0KB,WBAEK73465B596943,53430LBGSB,Khaki,car
N09-CVL,WAULT68EX3A489767,76371HDKVB,Mauv,car
LGE-9000,3N1AB7AP4FY408800,88568FGBBK,Yellow,motorcycle
ALH-469,1C6RD7HT8CS455522,09569XHRII,Teal,track
46J QC4,4T3BA3BB7FU519976,81271PUFQU,Teal,car
SSX 149,SAJWA0FB0BL489650,13459QZFNX,Puce,motorcycle
T78 5KR,WAUBF78E57A523130,22400QHOPO,Green,track
740 GOJ,1B3CB9HA1AD388585,73053NCNHC,Turquoise,car
4Y705,JN8AZ1FY8CW215919,68606YKXRE,Aquamarine,motorcycle
625-ZXA,SALWR2VF6FA772751,91086FMREO,Khaki,motorcycle
CDA-942,5N1AZ2MH3FN027500,12692VPJYK,Pink,track
73D 529,WBALX5C54CC318068,38409WIKNY,Pink,car
O14-56N,3N1CE2CP7FL062545,65614ELRCG,Fuscia,motorcycle
1OA J97,19VDE3F74EE492614,15304TERJH,Aquamarine,car
50I 0130,1GTN1TEX9BZ463232,39641ZUOIF,Maroon,car
69EZ893,WAUJC68E62A811990,59215SXHHX,Khaki,car
I09-OBJ,1G6AG5RX6D0656130,61895CJJUJ,Indigo,motorcycle
MQY-242,WA1YD64B12N086599,26638YQZKL,Blue,track
450 VVZ,4USBU33537L001765,88149HIAOX,Puce,car
UTW-6872,3N1CE2CP3FL527547,30260LXSQG,Turquoise,car
7-1470B,KMHEC4A48EA398805,86098ZUNMR,Aquamarine,car
0OA Y11,1N6AA0EJ4FN442422,80404UNYAY,Indigo,motorcycle
4JL 679,5J6YH1H34BL179719,76134WVQWH,Red,motorcycle
702XP,3VWC17AU3FM541213,66483RELJD,Aquamarine,car
817K,WAUDG98E76A484458,73414MLVAY,Mauv,motorcycle
958 6408,3GYFNFE32CS959134,34838ATQWJ,Goldenrod,track
8-I0181,1G6YX36D675765000,26117IVOWV,Orange,car
HP8 C7F,JHMZF1C47DS900087,03012EEHXC,Purple,track
272 YYR,W04GT5GC8B1354293,54168EHJTJ,Aquamarine,car
FBP 349,WA1DGBFE5ED042377,02990FMDIG,Green,car
VGQ 530,WAUBFAFL0CA736592,21214JLXTG,Crimson,motorcycle
P84 0AC,1G6DP5E36D0444280,05712RDYPD,Mauv,motorcycle
CWU-1443,5TDBCRFH7FS090691,59209BOWWM,Crimson,track
064 8XT,1N4AA5AP8AC208661,40636CIOKK,Purple,motorcycle
UV 4166,WAUCFAFH7DN131785,90228VRHSD,Green,car
KQI-137,3D7JV1EPXBG572716,86489LGGLR,Purple,motorcycle
2VE M49,1G6DD8E37E0382111,40064ONBBL,Khaki,track
0AS 085,JTJBC1BA2C2112073,68599NGPQV,Yellow,car
367 SER,WA1CV74L07D998272,13805BGLCX,Goldenrod,car
9VM O50,JM1GJ1T59E1928674,27952AFDKS,Khaki,track
TQF-695,SALGS2EF0EA926801,32507VMQCD,Yellow,track
167-IQP,1G4HD57278U721086,57372EXCNW,Mauv,motorcycle
982 EWJ,SCBZB25E22C219791,96926WJPQG,Turquoise,track
WD-4200,2LMHJ5AT1FB157842,90327VJIXZ,Purple,motorcycle
TY 5461,1FMEU8DEXAU625734,97312OCMVK,Crimson,track
685 QZR,1FTEW1C80AK884214,89496WYPEF,Crimson,car
R50 1NH,3GYEK62N55G946037,14709DXNZN,Purple,track
898T6,WAU3FAFR8CA573134,63662IFOJF,Turquoise,motorcycle
231 2757,19XFA1F32AE433990,61446CYJBC,Orange,track
725H,WVGAV7AX2CW729298,13893BSZNE,Puce,car
3KM 696,YV1672MW8B2815340,11280NIIMM,Aquamarine,motorcycle
K80-ZXB,1G6DK8EG7A0267396,31154MILFA,Goldenrod,track
AYV 369,JA4AD3A35FZ161588,54774CYHDL,Pink,track
542-MTZ,1N6AD0CU3CC161109,26549MRDPI,Purple,track
53-MO16,19XFB4F27FE705799,17985LGROF,Crimson,motorcycle
LDR 808,1N6AA0CC7EN219651,04580SGTWO,Red,motorcycle
028-BAQL,WAULC68E53A315508,66576OBXWU,Goldenrod,motorcycle
YFF-665,WVWED7AJXCW644312,79679IYBAE,Goldenrod,car
4-45012A,1G6AB5RA0E0889898,98202NZZPA,Indigo,track
HS 3074,JH4DB75641S875796,90007HVZZC,Green,motorcycle
9T589,1N6AF0LYXFN284251,98084DMXQT,Turquoise,track
9-F8654,SAJWJ0FF5F8141032,41154DWFZS,Blue,car
2-M4064,WA1CMAFE2ED955046,27601ACGVR,Mauv,car
V58 2EN,1GD312CGXBF500368,11492FUWAO,Blue,motorcycle
LNA 574,3GYFNDEY1AS858406,68583ZYSKW,Indigo,car
23C WU4,3GTU2YEJ9BG655719,88510XJWMX,Mauv,track
40G 6406,JTDKDTB30D1025714,30907AMLTS,Goldenrod,motorcycle
RPJ 8340,5GAKRAKD1EJ950567,51377UQXMC,Blue,motorcycle
ZXG 094,2G4WS52JX11716185,06475DZHFU,Teal,car
02-S856,WAUPEAFM9BA755447,24362GAAMP,Teal,track
994-CWF,WA1WMBFE7FD003907,49116MQVGU,Purple,motorcycle
MRT 516,3D4PG9FV5AT381269,66675VNMUO,Green,track
ZMD 044,3FADP4AJ6BM442881,71475FWVQK,Green,track
ESX 218,SAJWA1EK8EM378821,00326DAIRN,Puce,motorcycle
