contract_code,license_plate,contract_group,cost,start_date,end_date,customer_id,contract_category
HLUHQ12087,44-HC56,private,1016.08,2020-08-28,2024-08-28,08379QHHT,active
ONLJB37057,ALG-649,mixed use,2038.9,2019-02-25,2023-02-25,86956MEKE,active
DQOGW75567,0U 0335S,private,2528.98,2019-07-18,2023-07-18,88545LAYL,active
EKQHJ76493,HYK 366,mixed use,3762.07,2018-08-05,2022-08-05,60620NVYL,active
IBWNN86573,465-HCJ,professional,146.72,2019-10-27,2023-10-27,30828RHLO,active
NCUZR89154,N24 2SO,mixed use,2123.33,2018-07-20,2022-07-20,68428OEFB,active
GMMNK51544,15Y 823,private,3228.59,2022-04-21,2026-04-21,67654IKZR,active
WQVID76439,3-58615,mixed use,1043.8,2020-08-04,2024-08-04,81487OAVI,active
OIBTJ51357,5Z 7I0WSV,private,599.36,2018-05-20,2022-05-20,80341OYHN,active
PNNOP75548,GTB 435,mixed use,1757.08,2020-07-21,2024-07-21,60764GEVW,active
BMAGU67900,6127,professional,2353.54,2019-05-11,2023-05-11,23754LFSH,active
JMATX29835,3-13562X,private,1112.64,2017-10-05,2021-10-05,22519SNXK,active
UPDJP20957,7YM4070,professional,873.46,2021-04-15,2025-04-15,65496JTJS,active
MDXVJ25081,767 PJE,private,2357.46,2022-08-21,2026-08-21,59509DURL,active
WFDQC65911,QCY 464,mixed use,1566.2,2020-03-07,2024-03-07,95771UVPS,active
CVGOF72717,28033,mixed use,2839.36,2021-06-01,2025-06-01,33111FIVL,active
TWEKT91443,8BMP479,professional,3104.45,2017-11-27,2021-11-27,72654HUSA,active
XWTFB19078,GRE-025,private,1821.86,2018-09-28,2022-09-28,75753QQCE,active
WEUZR00648,DUQ4085,mixed use,3996.11,2018-01-24,2022-01-24,95040SBVL,active
CTLSX49472,SZU 900,mixed use,3336.39,2021-07-28,2025-07-28,50584GBVS,active
PZALR09788,225 JCO,private,2145.98,2022-08-18,2026-08-18,71777VLNK,active
WVGWV13281,226 WWG,mixed use,3015.92,2022-06-21,2026-06-21,02370YQOZ,active
NIOXF19846,CDC-924,mixed use,2059.4,2022-08-11,2026-08-11,15483UTSS,active
XXVNO91624,LDC6930,professional,2251.92,2021-01-02,2025-01-02,65159HQQP,active
TQZQQ81127,NIP-6327,professional,2503.12,2020-11-12,2024-11-12,51144WGEM,active
IPRUR43160,15-HM06,private,2028.38,2021-02-01,2025-02-01,49638CIFF,active
XTEYI05952,661-IYN,professional,2102.83,2021-12-15,2025-12-15,09733UOWD,active
EZOOO19263,9OD7099,mixed use,168.08,2020-05-29,2024-05-29,71982XHRY,active
EIGUK57167,IRJ4061,mixed use,1110.32,2022-12-02,2026-12-02,98657ZERQ,active
IVEGK63631,QKL-2115,private,1490.25,2021-09-27,2025-09-27,83284DBLF,active
LQBMC61436,2BE79,mixed use,1030.88,2017-09-22,2021-09-22,72610MBZX,active
BXMOZ82428,MDN 148,professional,214.45,2019-02-07,2023-02-07,55484EYRU,active
RGNUG04731,685VJJ,mixed use,807.66,2021-06-13,2025-06-13,59500UIIQ,active
CKUZL34424,6M 8N4WZH,professional,310.8,2017-05-29,2021-05-29,95771UVPS,active
GDXVN22756,0VR1058,professional,2004.92,2022-10-01,2026-10-01,57042LJVM,active
ALJBQ73015,2X CH591,private,2139.09,2020-05-31,2024-05-31,78232DVOC,active
TAYXF81935,HGW-0660,private,1882.02,2018-04-14,2022-04-14,45963BTGS,active
DSKAF93137,577-UTK,mixed use,3100.88,2022-10-14,2026-10-14,74014HHPE,active
IXSFL89525,9GXK 13,private,772.85,2018-06-18,2022-06-18,81978JEUU,active
UVIAH70361,177TCO,professional,2227.43,2022-07-02,2026-07-02,95040SBVL,active
JVFHO61755,2R 88330,professional,2929.03,2022-09-21,2026-09-21,71718MGNI,active
TGVDS59341,9MI 839,mixed use,3931.37,2022-07-29,2026-07-29,44762FKVQ,active
JGRIE70575,3RX4731,private,776.26,2020-04-09,2024-04-09,79723EUNH,active
RJCKZ09503,794-XFB,professional,3536.33,2017-10-06,2021-10-06,32776URIO,active
WUJEP27940,YKH-6327,mixed use,1668.89,2019-08-22,2023-08-22,50789WSEV,active
BYFAJ72889,6DN G71,professional,2565.41,2022-05-08,2026-05-08,91124PCFZ,active
MWZVS86916,304 HPU,professional,3147.73,2018-01-15,2022-01-15,77235BUOB,active
XRZOO05698,YQE3024,professional,2549.87,2017-09-06,2021-09-06,88392OUWV,active
MNZLE36618,I61 6TY,mixed use,905.9,2020-05-15,2024-05-15,10471PBQI,active
IAZWE15572,TV2 2438,private,940.18,2017-06-15,2021-06-15,18388XKVN,active
NQBQZ30170,7B 77677,private,1892.27,2021-07-11,2025-07-11,21171ASDE,active
MMSSJ22344,LIK-145,professional,2840.7,2020-10-29,2024-10-29,79531SQST,active
HFTWJ41884,W99 1LZ,professional,474.22,2017-08-20,2021-08-20,40695OWQR,active
GQQWI17213,TQ5 8063,private,1764.61,2022-09-05,2026-09-05,13604VPXT,active
ROVPU78377,KXX 551,professional,2513.9,2021-08-16,2025-08-16,83780RTBV,active
PGZWV00654,XR 37057,mixed use,204.61,2019-10-06,2023-10-06,42118POCR,active
VILBH56402,09-CG69,private,3167.14,2019-09-10,2023-09-10,06045QDAB,active
EQQLO28207,IZQ 3134,mixed use,2192.11,2021-09-08,2025-09-08,93214WTZW,active
IKQPV86065,51F B29,private,3200.23,2018-11-04,2022-11-04,76649BVYS,active
JJNME47184,AIT 625,mixed use,2380.69,2019-04-21,2023-04-21,80733GLAN,active
XGSDM50839,VB 8529,mixed use,3175.23,2019-06-09,2023-06-09,95531TBRP,active
LQIEI33835,4K089,mixed use,391.27,2019-12-30,2023-12-30,95040SBVL,active
EADTE11813,OX-1985,private,1661.74,2018-01-27,2022-01-27,18630CNPB,active
GEIII66546,57-Y093,mixed use,3664.84,2022-01-25,2026-01-25,67654IKZR,active
ZZTIB72639,QL 5205,mixed use,1270.26,2017-06-24,2021-06-24,79571JNBX,active
SBWTX84382,SEC-295,private,1052.77,2021-12-06,2025-12-06,98849FHWR,active
DDYQZ20462,QDV-8658,mixed use,1027.8,2021-04-12,2025-04-12,23754LFSH,active
PJXJT62954,GQL 281,private,1862.59,2018-11-22,2022-11-22,72032EAOV,active
YGKDM97467,829 CR2,professional,3149.21,2018-11-28,2022-11-28,58699UWMV,active
JDOJC74783,003-CZGF,private,3455.96,2020-06-21,2024-06-21,17136ELGN,active
RKKXY13584,5CR7462,private,3393.48,2022-08-22,2026-08-22,40695OWQR,active
LIPAH32657,05-8899A,mixed use,327.85,2022-03-20,2026-03-20,35764FOIB,active
NDJRI84904,934 OZH,professional,2553.65,2020-12-16,2024-12-16,79150WKYZ,active
ZGZRU50445,IDU 377,professional,3117.33,2020-06-27,2024-06-27,80733GLAN,active
ORIFG64589,8448 ED,mixed use,3699.34,2019-03-06,2023-03-06,56911ZULC,active
HIFMF65641,ABY-4730,private,3114.85,2019-10-17,2023-10-17,24273JCDS,active
OLIRI80639,BW1 3234,professional,1401.51,2020-08-01,2024-08-01,85393JJBI,active
XYZEC02467,IYU-437,mixed use,2423.76,2018-10-02,2022-10-02,77999UXSR,active
RHEHC25907,GQU-8889,professional,1191.82,2022-12-13,2026-12-13,89526MVNF,active
XGCWI08317,7Y 8I7KEQ,professional,3045.13,2022-05-21,2026-05-21,91124PCFZ,active
NMVAG91876,5F TX621,private,3876.34,2018-08-21,2022-08-21,42269XXOE,active
QIRQZ65178,YU-2902,private,498.4,2019-10-26,2023-10-26,54940GODH,active
BYJUN94709,8I UY907,private,2917.42,2017-06-09,2021-06-09,54925RJRY,active
RZWCJ21709,05L•150,private,801.17,2021-04-14,2025-04-14,42627LHYL,active
DOAHK06790,975 LWO,professional,2891.57,2018-02-03,2022-02-03,57734LGNA,active
TULHA28509,9ZR H83,mixed use,3938.82,2023-04-13,2027-04-13,47778WZVI,active
FXXIN77844,4JL 298,private,2383.06,2022-10-04,2026-10-04,83914QDAV,active
XTNIQ99489,K93 5FY,private,1516.4,2021-10-03,2025-10-03,83600WKWC,active
SMNKQ57908,159 YCL,professional,2554.16,2022-11-25,2026-11-25,93214WTZW,active
PZMMM47976,6-66210,professional,2344.07,2022-07-27,2026-07-27,84514WYTX,active
GSIMV71662,575-052,mixed use,2798.49,2021-03-16,2025-03-16,95475BQLW,active
TKEWD03505,367 UY1,professional,1561.2,2023-03-17,2027-03-17,14816AYBJ,active
TLUOB09796,666 HTA,professional,2333.71,2017-12-18,2021-12-18,01659YYEU,active
NRGOR57841,HGJ 783,professional,2035.57,2020-12-01,2024-12-01,60328SAPA,active
PUPQG34743,20-X454,private,329.06,2023-02-20,2027-02-20,35138FFHY,active
DJCUT37071,73B•578,mixed use,1210.39,2019-08-04,2023-08-04,42269XXOE,active
GNHHS24907,RBB 901,professional,169.68,2021-05-13,2025-05-13,77363CFCP,active
ZXQMV71352,KD-2612,professional,1537.26,2022-03-10,2026-03-10,12458QKFX,active
MACEZ12091,H28 9KQ,mixed use,691.39,2019-02-27,2023-02-27,48645NFGV,active
IEKHH00057,324-NPF,mixed use,2111.06,2020-08-28,2024-08-28,18019RBDW,active
IRFDS68677,HNL 498,mixed use,1325.31,2017-10-12,2021-10-12,10769ALVE,active
JWPHS25608,VSX-185,professional,330.52,2022-03-26,2026-03-26,55120LCLY,active
KGTRK42375,3VY 558,professional,3772.17,2022-02-11,2026-02-11,42627LHYL,active
ZONAS08779,981VRC,professional,3807.54,2021-04-20,2025-04-20,64522VYKP,active
FKDBF56481,77LQ8,mixed use,1310.64,2023-03-07,2027-03-07,47778WZVI,active
DVHJG22536,937 IUU,professional,1279.98,2018-03-09,2022-03-09,22979ZPMU,active
TGNPC37740,2557,mixed use,1509.12,2019-07-04,2023-07-04,45963BTGS,active
ZFMEQ20097,LWY 178,private,1408.61,2023-04-20,2027-04-20,18258VTFF,active
FFOUR90718,VSX 302,private,977.79,2018-08-03,2022-08-03,82767MXXC,active
IDRSC64205,9NT56,private,416.91,2022-01-03,2026-01-03,68586FWQU,active
GNZSF67021,LZL-2657,mixed use,3061.99,2022-12-23,2026-12-23,11116WFHA,active
CPMIC41954,VMH 708,private,3115.19,2021-11-07,2025-11-07,42765RSFG,active
RDWSS59430,FIT 684,mixed use,1687.2,2020-10-23,2024-10-23,60620NVYL,active
ODSOP40384,SBG 098,professional,1151.46,2021-11-13,2025-11-13,14816AYBJ,active
RRQHL94722,6PP 383,mixed use,1195.46,2020-03-15,2024-03-15,78690BVFL,active
OUUNQ03933,795 ETO,private,3678.59,2018-02-08,2022-02-08,54653TVUV,active
RJMFP16491,0JE39,private,2821.38,2020-08-13,2024-08-13,49803AKGC,active
KJPEW64310,33-2862W,private,1124.59,2020-10-21,2024-10-21,14404DRGA,active
LMWRP45788,8IY 250,mixed use,3662.71,2020-02-23,2024-02-23,87910RZWT,active
YZYKV69344,4T 58052,private,465.73,2021-02-15,2025-02-15,54925RJRY,active
JVKEA98016,58O PJ3,professional,1566.88,2023-03-23,2027-03-23,32305VJIF,active
ULFDO03642,9562,private,3363.38,2020-07-24,2024-07-24,03552MMGN,active
JUUAX57147,89-A279,mixed use,3822.9,2023-05-12,2027-05-12,68582MPTR,active
MVLLZ00292,326 JFK,mixed use,3044.13,2019-06-25,2023-06-25,02078EQQT,active
MTADL85583,RAD-7016,private,1041.04,2019-12-30,2023-12-30,25434HMPF,active
XWVVA04033,D65 6VU,mixed use,3309.53,2017-08-17,2021-08-17,13891NOSE,active
DZQMM56830,T78 5KR,private,3857.27,2018-12-16,2022-12-16,36255KUID,active
DFSTG19584,CDA-942,mixed use,3081.97,2021-08-30,2025-08-30,56369HXEP,active
KCOIA11752,I09-OBJ,professional,1243.24,2022-08-03,2026-08-03,31128EHQZ,active
GZXVG69754,272 YYR,professional,1237.18,2018-04-04,2022-04-04,43473HAYP,active
BVYOM35425,2VE M49,professional,2232.86,2021-02-04,2025-02-04,46015XQAX,active
MLHLK92605,231 2757,private,3723.67,2018-09-22,2022-09-22,32971HUPL,active
DQNDR93785,53-MO16,professional,681.77,2017-06-16,2021-06-16,61817FIKY,active
JCYRN47061,ALZ 108,mixed use,619.64,2022-06-06,2026-06-06,67654IKZR,active
JRIOQ84607,YKZ 448,private,3568.98,2020-05-15,2024-05-15,01087MZWC,active
CKSSB57666,071-FDW,mixed use,1882.83,2019-10-02,2023-10-02,87603OGLK,active
KNUVR23667,THX 215,mixed use,1580.29,2017-10-21,2021-10-21,29615DGPL,active
BYHRK40522,694 VZ3,professional,153.46,1989-08-06,1993-08-06,49482IBZH,not active
IXVEZ18118,98I T78,professional,3899.28,1996-01-19,2000-01-19,43473HAYP,not active
PPFKV21806,53-N511,professional,2279.54,1981-09-24,1985-09-24,94303JWTD,not active
YQNLW86336,F08 4EV,mixed use,826.12,2001-02-16,2005-02-16,87612BOEV,not active
CCGEV37110,PP 5921,professional,1333.2,1993-08-11,1997-08-11,54925RJRY,not active
VMMWO09824,920 NO9,professional,1778.05,2003-04-22,2007-04-22,57734LGNA,not active
KSFTN44526,WLQ-8090,private,719.62,1988-12-13,1992-12-13,79150WKYZ,not active
OMWCS52928,5UQ 943,private,275.4,1995-08-09,1999-08-09,77966JEXX,not active
BXJWM56577,LYP 869,private,2651.7,1987-07-23,1991-07-23,93214WTZW,not active
CWPLL61205,9EJE 13,professional,3220.92,1985-07-09,1989-07-09,91456OASB,not active
TLEDW79399,BLA-2552,private,2815.28,2001-07-13,2005-07-13,04940PMMY,not active
DMBTH62389,155470,mixed use,3748.88,1983-07-02,1987-07-02,05056UNSA,not active
RXOIB28840,71-5958U,mixed use,1353.37,1997-08-31,2001-08-31,10471PBQI,not active
LHXBW35990,9Z512,professional,3197.54,2001-09-30,2005-09-30,93214WTZW,not active
WLYJH93043,6YT 049,professional,863.35,1988-12-06,1992-12-06,72610MBZX,not active
IPOLC89588,072 4QK,professional,2546.55,1993-05-01,1997-05-01,25935HNYY,not active
EBCXU68412,7K YC112,professional,1196.14,2010-12-25,2014-12-25,10769ALVE,not active
URIKR68112,727 JGD,mixed use,668.21,2012-03-03,2016-03-03,03552MMGN,not active
LEEWR39927,CFZ-382,private,1797.68,2006-10-08,2010-10-08,67383HZVX,not active
FDGJW49296,2LU 363,professional,2881.31,1996-02-16,2000-02-16,92623KQZR,not active
ETDJW02033,82-ME02,private,3910.65,2013-06-28,2017-06-28,57422FUFB,not active
USTOV66656,820 6ND,professional,2712.93,1994-05-08,1998-05-08,81487OAVI,not active
KCBOM35730,BJ6 Y7V,mixed use,504.7,2011-02-13,2015-02-13,98552YSEK,not active
RSHCJ04518,566 JNB,professional,1938.43,2011-08-17,2015-08-17,68586FWQU,not active
WMRCD76320,QSH-5559,professional,729.24,1994-06-23,1998-06-23,34284QPPH,not active
UDOMB42657,759-HKD,professional,2185.33,1989-07-21,1993-07-21,95040SBVL,not active
RGCJU37868,FQS4118,professional,1390.97,1985-08-07,1989-08-07,51549NDPJ,not active
IRPXI92642,QDM-2037,private,2420.78,1988-05-01,1992-05-01,11116WFHA,not active
KTHUG51753,RIU 090,mixed use,2911.38,1984-12-03,1988-12-03,52279JVHF,not active
TLPHW20138,CGU4014,mixed use,2419.92,2006-04-12,2010-04-12,65031CTFS,not active
XEVMD87067,KUM 150,professional,1382.9,2002-12-09,2006-12-09,23373OIZR,not active
ZIBKQ05370,257-AFM,mixed use,3258.8,1985-02-15,1989-02-15,77648HPWS,not active
EOKGV78823,0ZLD 20,professional,2780.16,1994-09-11,1998-09-11,70064RDVI,not active
PGOCN16135,9ND 607,professional,2180.09,1993-11-22,1997-11-22,24273JCDS,not active
ZXLPC70831,60B H04,private,2240.45,1987-03-01,1991-03-01,02370YQOZ,not active
XXADV11290,RK-4506,private,1704.92,1992-01-31,1996-01-31,69115KDSM,not active
AEYUR04959,UJN-843,professional,359.99,2011-09-13,2015-09-13,42765RSFG,not active
UPVCQ79127,MBR 586,mixed use,1442.66,2005-10-20,2009-10-20,84514WYTX,not active
DYZQU54375,3TD 621,private,2273.13,1996-09-14,2000-09-14,78104LNZA,not active
MJBLK52655,938 QHJ,mixed use,2449.8,1992-07-25,1996-07-25,65159HQQP,not active
CXBNG94637,122 FYK,private,280.26,2013-08-09,2017-08-09,69408PZCQ,not active
QWDAY22295,760-MKBU,private,2695.09,2014-05-31,2018-05-31,25434HMPF,not active
JIMNU21015,267 JQV,professional,1469.25,1983-04-17,1987-04-17,09591PDXE,not active
LCQIU32217,7UYR078,professional,2047.42,1982-08-21,1986-08-21,44609WILJ,not active
CNDFQ36759,052 1561,mixed use,1122.31,1996-10-11,2000-10-11,57531HHOE,not active
ANWNO96326,O 923797,private,2041.94,2012-02-09,2016-02-09,46639TZPG,not active
EJGZB15757,LGN-1306,private,3251.48,1981-03-03,1985-03-03,43212TDKJ,not active
XAGAK98893,846 4924,professional,729,2007-02-14,2011-02-14,73157LIPH,not active
LPYUJ83003,374 TK2,professional,650.21,1994-01-17,1998-01-17,89695FAMD,not active
HBFPW61771,E55 3KP,professional,2344.18,1991-11-26,1995-11-26,36136GDUV,not active
ISALC38453,VN 90470,mixed use,3624.25,1984-05-23,1988-05-23,76606GSJC,not active
RWGYH78646,U95-83Z,mixed use,212.53,1988-02-07,1992-02-07,49638CIFF,not active
DPFZK22689,AQL4744,private,2423.85,1981-06-11,1985-06-11,54653TVUV,not active
FVNVW52371,502-XPD,private,1451.96,2003-09-12,2007-09-12,42013QHIR,not active
MAORB48650,693M,mixed use,124.78,2016-07-28,2020-07-28,43426DRZZ,not active
TZIGJ03675,PV5 4900,private,3120.46,2005-10-19,2009-10-19,19717MIGS,not active
YVQBU46167,1-89256,private,3278.5,2003-06-25,2007-06-25,82477VGEO,not active
TTPOM28156,BEB1897,professional,930.81,2003-07-10,2007-07-10,76566VEGI,not active
SUBDF66417,IUH-070,mixed use,1716.78,2005-11-22,2009-11-22,31447GNHE,not active
RMVLB00754,H 717865,private,268.18,1989-08-19,1993-08-19,79875HUWC,not active
ELSOA95239,OIE-8689,professional,3593.12,2003-11-01,2007-11-01,42765RSFG,not active
LDIER63828,PY 1470,mixed use,3106.12,2002-02-22,2006-02-22,60328SAPA,not active
TABLR68172,HPM8644,professional,3688.23,1985-05-23,1989-05-23,67284EJED,not active
QPLNA85203,8C 7R6MFX,professional,446.13,2005-04-14,2009-04-14,09733UOWD,not active
IBKVG70566,9-30884,professional,2786.66,1990-07-03,1994-07-03,13891NOSE,not active
MEHBT80865,IUM 377,professional,3461.05,2012-02-07,2016-02-07,14404DRGA,not active
YLBHE92725,ORA-886,mixed use,1586.8,1980-08-29,1984-08-29,35138FFHY,not active
RPIMF73462,226 0FR,mixed use,1809.38,2007-11-10,2011-11-10,92891DPPY,not active
ZZMPS13826,FR0 2492,professional,945.15,1998-11-16,2002-11-16,51118DLYY,not active
BFRVO20231,VPY1682,private,211.75,1987-11-27,1991-11-27,92891DPPY,not active
SWGZC30234,KIL 377,professional,2280.61,2003-11-15,2007-11-15,14772ZJQH,not active
VJVTT76597,929-XJT,professional,3334.91,2006-08-01,2010-08-01,91343ITWF,not active
UHZWI79948,D 548591,mixed use,2100.53,2013-11-17,2017-11-17,73860ZFXZ,not active
SYMQN66005,6-89908,mixed use,1611.58,2003-08-07,2007-08-07,00822FKFK,not active
TXVLU68511,5OR T08,private,503.23,2002-08-11,2006-08-11,34307LQXI,not active
LMBJG13570,8SWU 92,professional,527.7,1992-11-11,1996-11-11,41784LILU,not active
LIGIV58152,Q18 0AF,mixed use,3298.41,1981-01-22,1985-01-22,88254BLBN,not active
MPYOP88797,0S A1011,private,3981.24,2010-04-28,2014-04-28,62057CFRB,not active
DVLIT87648,VJY 943,private,3274.19,1988-11-17,1992-11-17,71982XHRY,not active
MLKXE01371,UDT 336,private,863.56,1982-11-13,1986-11-13,52058LYKU,not active
AWQJU95594,XKG-9136,professional,2644.64,1991-12-14,1995-12-14,77363CFCP,not active
TVHXY51109,7-Q9517,private,3599.6,2000-05-01,2004-05-01,99370FKWO,not active
UOEPQ60993,574-AOZ,private,2193.45,2011-03-04,2015-03-04,84292DHIB,not active
FIDIB33812,0IB 803,mixed use,2578.31,2010-10-20,2014-10-20,77097DUZP,not active
AAIWZ17012,RFL-2957,private,3969.13,1993-11-04,1997-11-04,70298ZUZH,not active
ICIWF52756,M19-91N,professional,2300.67,1996-06-19,2000-06-19,77235BUOB,not active
KRQAY81560,3QB45,professional,1935.99,2006-03-09,2010-03-09,98849FHWR,not active
HEQLR61605,0-Z0625,private,290.06,2007-12-24,2011-12-24,94444SGVC,not active
TYYWN52704,YEA-468,professional,3618.84,2016-10-21,2020-10-21,04940PMMY,not active
UJELM55630,6XX 116,mixed use,1445.21,1991-12-20,1995-12-20,55103ZPSB,not active
ZYQWW96820,4-46616N,private,3637.59,2008-03-04,2012-03-04,12655ULTD,not active
JQHUA72434,9ZO P33,private,1147.45,2015-02-15,2019-02-15,85599NPEB,not active
AEQKH51425,TBD-688,mixed use,701.12,1981-09-03,1985-09-03,18019RBDW,not active
CHDYO41580,LJU S70,mixed use,105.66,2002-06-05,2006-06-05,83284DBLF,not active
OYPHL25250,623 5388,mixed use,787.35,1996-10-25,2000-10-25,72610MBZX,not active
TMNUY01440,MAS-641,professional,828.61,2008-04-18,2012-04-18,86956MEKE,not active
ZDRPM08960,FTF-8420,professional,966.36,2006-07-10,2010-07-10,55229VVKR,not active
ORUEH59776,Z44 3DF,mixed use,3807.71,2004-02-03,2008-02-03,43512YVLG,not active
GPIRB68692,SUR 995,professional,3014.18,1992-03-02,1996-03-02,32305VJIF,not active
UCIVE39534,7BP 881,private,3004.63,1995-06-18,1999-06-18,43473HAYP,not active
ITKBL92494,0B E6144,private,2889.46,2004-11-12,2008-11-12,36154QQBW,not active
WCTWI15230,1BQ 169,professional,2679.81,1987-10-02,1991-10-02,36239MGOR,not active
FWCVT48162,370-AMF,private,2171.58,2002-05-27,2006-05-27,98043QMRH,not active
AINRD69764,75LM5,mixed use,1859.04,1986-08-15,1990-08-15,01087MZWC,not active
AFMFN48101,NLB-4427,mixed use,3637.24,1986-08-18,1990-08-18,47778WZVI,not active
GGZLN44282,416 YTP,private,3244,2000-09-10,2004-09-10,05056UNSA,not active
LKNJX19959,MOK 536,private,3908.71,2011-03-27,2015-03-27,76743DMGG,not active
NPXBU83328,5K 8L0QYM,private,137.95,1989-04-21,1993-04-21,18388XKVN,not active
PRLHW85500,LNY3441,mixed use,3708.35,2015-07-24,2019-07-24,67176RPBA,not active
WXCNN54579,2-61359G,professional,457.24,2006-02-01,2010-02-01,59905KSHU,not active
WSQOR16967,36D JT4,private,3217.5,2001-09-03,2005-09-03,37698CHVT,not active
NSADX36353,ZZR 318,mixed use,1355.47,1996-06-11,2000-06-11,05941YUVA,not active
UBASX04432,OQE N74,professional,371.6,1990-07-31,1994-07-31,58699UWMV,not active
JUMFI04053,74Y M17,private,432.81,1993-12-23,1997-12-23,32971HUPL,not active
LFAPH11237,1S XY951,private,3977.47,2014-02-18,2018-02-18,58175VDBX,not active
IRTCG94867,HSZ-6396,private,272.67,2002-05-10,2006-05-10,82923NARG,not active
ASJTL75607,XY1 2439,mixed use,660.59,2011-07-23,2015-07-23,35898FCNM,not active
